ABA4013,SEKOLAH KEBANGSAAN TANAH MERAH,33010
ABA4014,SEKOLAH KEBANGSAAN SYEIKH MOHD. IDRIS AL-MARBAWI,33010
ABA4015,SEKOLAH KEBANGSAAN KATI,33020
ABA4016,SEKOLAH KEBANGSAAN CHEH,33020
ABA4017,SEKOLAH KEBANGSAAN SAUK,33500
ABA4018,SEKOLAH KEBANGSAAN SULTAN ABDUL AZIZ,33000
ABA4019,SEKOLAH KEBANGSAAN ULU KENAS,33800
ABA4020,SEKOLAH KEBANGSAAN LEMPOR,33800
ABA4021,SEKOLAH KEBANGSAAN JELIANG,33800
ABA4022,SEKOLAH KEBANGSAAN ARA PANJANG,33800
ABA4023,SEKOLAH KEBANGSAAN MANONG,33800
ABA4024,SEKOLAH KEBANGSAAN ULU PIOL,33800
ABA4025,SEKOLAH KEBANGSAAN TALANG,33000
ABA4026,SEKOLAH KEBANGSAAN PADANG ASAM,33700
ABA4027,SEKOLAH KEBANGSAAN TUN DR ISMAIL,33700
ABA4028,SEKOLAH KEBANGSAAN PAYA SALAK,33700
ABA4029,SEKOLAH KEBANGSAAN LANEH,33010
ABA4030,SEKOLAH KEBANGSAAN PEREMPUAN,33700
ABA4031,SEKOLAH KEBANGSAAN KARAI,33600
ABA4032,SEKOLAH KEBANGSAAN SUNGAI SIPUT (U),31100
ABA4033,SEKOLAH KEBANGSAAN TROSOR,31100
ABA4034,SEKOLAH KEBANGSAAN LASAH,31100
ABA4035,SEKOLAH KEBANGSAAN RKT LASAH,31120
ABA4036,SEKOLAH KEBANGSAAN JAWANG,31050
ABA4037,SEKOLAH KEBANGSAAN PERIANG,33600
ABA4038,SEKOLAH KEBANGSAAN TEMIN,31100
ABA4039,SEKOLAH KEBANGSAAN JALONG,31100
ABA4040,SEKOLAH KEBANGSAAN TEMONG,33600
ABA4041,SEKOLAH KEBANGSAAN CHEGAR GALAH,33500
ABA4042,SEKOLAH KEBANGSAAN LINTANG,31100
ABA4043,SEKOLAH KEBANGSAAN KAMPUNG MAAMOR,31120
ABA4044,SEKOLAH KEBANGSAAN ULU RIBU,33600
ABA4045,SEKOLAH KEBANGSAAN SEROLI,31100
